raw,filtered,n_blinks
-1482278,-250466.08182520964,0
-1446810,-814806.8261198141,0
-1415116,-1127768.8373761666,0
-1447144,-998303.3987163829,0
-1479404,-754866.5897290087,0
-1444704,-527064.0259743864,0
-1414352,-302069.00380288844,0
-1441216,-131169.7919423658,0
-1478652,-69845.3768236356,0
-1449114,-48443.052749691706,0
-1414244,44266.04190906005,0
-1449798,188270.96704647964,0
-1477576,269083.7067515926,0
-1446010,260601.43553321692,0
-1408658,249533.96518995406,0
-1450930,290707.0677861201,0
-1478314,344552.67271744326,0
-1441440,361671.42166325514,0
-1414468,339921.27059649775,0
-1449504,303575.99279724044,0
-1483472,282597.614786165,0
-1451108,293873.6411162006,0
-1412024,312656.74423368514,0
-1450106,286730.23230913916,0
-1480806,216567.82021688763,0
-1446678,177589.66081237982,0
-1410758,205749.1394191599,0
-1445896,227216.35446670558,0
-1481708,172671.50549958542,0
-1448732,94735.0978420841,0
-1413530,83495.2009024493,0
-1451310,118994.03806339367,0
-1485048,112844.36030089977,0
-1446502,57123.24404923324,0
-1414772,21129.694960126257,0
-1452826,28091.87966113761,0
-1484840,36933.94385422883,0
-1446718,25635.24588909509,0
-1409174,10199.945940557307,0
-1450726,-4055.0469398430023,0
-1484716,-20408.583500154986,0
-1446276,-20205.789784184046,0
-1414018,251.92813145819628,0
-1450150,936.5626823244171,0
-1487006,-35062.3767572175,0
-1455426,-57429.84821072188,1
-1411788,-27333.90815974459,1
-1447860,7502.082209000708,1
-1487956,-12928.879137108273,1
-1455144,-53951.24076880717,2
-1425168,-46983.741108331014,2
-1458186,-9684.545953035962,2
-1491434,-6177.846505253705,2
-1459676,-33621.30840068719,2
-1419700,-37675.03597827972,2
-1462800,-14536.174653040793,2
-1495260,-7170.673331493171,2
-1458300,-17240.11482227949,2
-1420584,-13920.475196377674,2
-1456410,-3057.464151024574,2
-1488306,-7815.669927284862,2
-1454462,-12866.889349817679,2
-1420600,3281.4280204169886,2
-1456524,15216.826213224727,2
-1486064,-3047.989214641764,2
-1445372,-18402.215127035328,2
-1420370,2656.2400727031863,2
-1448614,26307.535072535997,2
-1481036,11850.193321815957,2
-1444144,-13469.322633823484,2
-1412422,-3624.1698120599185,2
-1451396,20884.17566413214,2
-1486950,12505.277907165699,2
-1449064,-12736.368420158458,2
-1416836,-9496.713563508225,2
-1447766,10776.850594885087,2
-1482078,8315.885867742558,2
-1447036,-7146.0766564652595,2
-1414030,-1255.2786697748684,2
-1455332,11838.305765130117,2
-1486212,-135.6761476166571,2
-1447324,-16265.81248826103,2
-1407190,-1710.4831320351752,2
-1448108,19402.44640045159,2
-1482140,7475.7463176965675,2
-1444766,-14031.046472925405,2
-1409546,-3846.8152720999888,2
-1448720,16130.01845296771,2
-1480668,5520.405050308807,2
-1445670,-14864.65344617921,2
-1414088,-6067.633967700793,2
-1452144,11744.135093184284,2
-1481836,1358.6020098573927,2
-1451332,-17418.760557872458,2
-1413788,-7258.389233172845,2
-1445504,13564.776313863269,2
-1478616,6027.126853733409,2
-1447502,-13361.302442102535,2
-1414222,-5184.978582100756,2
-1452808,13475.256294857863,2
-1479884,3826.1619601230973,2
-1447482,-16053.792025755407,2
-1413996,-7450.920392108119,2
-1448420,13348.815090577602,2
-1479476,7732.6548673234465,2
-1442420,-10084.348066608087,2
-1409468,-3214.4478358086453,2
-1444814,13844.92197378525,2
-1479172,6263.142769874349,2
-1441532,-9819.760934537793,2
-1410910,-1271.614480548582,2
-1446554,12845.523267644963,2
-1480932,233.59346365257466,2
-1448346,-17198.438920421908,2
-1416716,-5434.380368520029,2
-1447922,12901.586589588154,2
-1482220,779.7538709334714,2
-1444432,-18931.14811652313,2
-1412026,-5491.07243543195,2
-1450496,17898.13822079096,2
-1480406,7473.658419515627,2
-1449632,-16926.06144831257,2
-1409336,-10198.402068528918,2
-1452022,12869.701569860774,2
-1480474,8494.551278888324,2
-1440134,-9598.547973533456,2
-1411100,-3302.3563622638503,2
-1443772,12967.720527610458,2
-1481016,5892.936368641934,2
-1452282,-10948.69536644022,2
-1411970,-4688.179244904721,2
-1447900,10006.380438282862,2
-1479462,193.56651997562813,2
-1444154,-14073.034175341127,2
-1413452,307.3071591410521,2
-1446450,18422.971088974715,2
-1477694,4115.7185017092215,2
-1444766,-17555.155293346736,2
-1411436,-5552.574984703061,2
-1446848,18117.14044287937,2
-1476702,9384.233197846892,2
-1439750,-13470.038468890009,2
-1406818,-6497.075317197844,2
-1447446,14754.808680806325,2
-1477910,8652.05645941727,2
-1444010,-11354.457193549519,2
-1414562,-8287.981983122885,2
-1449094,5848.90388593215,2
-1481800,-511.37471334272936,2
-1443906,-12829.5969106074,2
-1411276,-1703.3360280907107,2
-1447528,12855.264730454535,2
-1480918,-30.784840669276846,2
